date,competition,weight,home_team,away_team,home_goals,away_goals,total_goals,goal_diff,result,btts,over_2_5,over_3_5,home_win,draw,away_win,neutral
2010-01-02,Friendly,0.1,Iran,North Korea,1,0,1,1,H,0,0,0,1,0,0,True
2010-01-02,Friendly,0.1,Qatar,Mali,0,0,0,0,D,0,0,0,0,1,0,False
2010-01-02,Friendly,0.1,Syria,Zimbabwe,6,0,6,6,H,0,1,1,1,0,0,True
2010-01-02,Friendly,0.1,Yemen,Tajikistan,0,1,1,-1,A,0,0,0,0,0,1,False
2010-01-03,Friendly,0.1,Angola,Gambia,1,1,2,0,D,1,0,0,0,1,0,True
2010-01-04,Friendly,0.1,Egypt,Mali,1,0,1,1,H,0,0,0,1,0,0,True
2010-01-04,Friendly,0.1,Tanzania,Ivory Coast,0,1,1,-1,A,0,0,0,0,0,1,False
2010-01-05,Friendly,0.1,Ghana,Malawi,0,0,0,0,D,0,0,0,0,1,0,True
2010-01-06,AFC Asian Cup qualification,0.8,Bahrain,Hong Kong,4,0,4,4,H,0,1,1,1,0,0,False
2010-01-06,Friendly,0.1,Benin,Libya,1,0,1,1,H,0,0,0,1,0,0,False
2010-01-06,AFC Asian Cup qualification,0.8,China,Syria,0,0,0,0,D,0,0,0,0,1,0,False
2010-01-06,Friendly,0.1,Gabon,Mozambique,2,0,2,2,H,0,0,0,1,0,0,True
2010-01-06,AFC Asian Cup qualification,0.8,Indonesia,Oman,1,2,3,-1,A,1,1,0,0,0,1,False
2010-01-06,AFC Asian Cup qualification,0.8,Kuwait,Australia,2,2,4,0,D,1,1,1,0,1,0,False
2010-01-06,AFC Asian Cup qualification,0.8,Lebanon,Vietnam,1,1,2,0,D,1,0,0,0,1,0,False
2010-01-06,AFC Asian Cup qualification,0.8,Singapore,Iran,1,3,4,-2,A,1,1,1,0,0,1,False
2010-01-06,AFC Asian Cup qualification,0.8,Thailand,Jordan,0,0,0,0,D,0,0,0,0,1,0,False
2010-01-06,AFC Asian Cup qualification,0.8,United Arab Emirates,Malaysia,1,0,1,1,H,0,0,0,1,0,0,False
2010-01-06,AFC Asian Cup qualification,0.8,Yemen,Japan,2,3,5,-1,A,1,1,1,0,0,1,False
2010-01-07,Friendly,0.1,Rwanda,Ivory Coast,0,2,2,-2,A,0,0,0,0,0,1,True
2010-01-09,Friendly,0.1,Kenya,Cameroon,1,3,4,-2,A,1,1,1,0,0,1,False
2010-01-09,Friendly,0.1,Tunisia,Gambia,1,2,3,-1,A,1,1,0,0,0,1,False
2010-01-09,Friendly,0.1,Zambia,South Korea,4,2,6,2,H,1,1,1,1,0,0,True
2010-01-10,African Cup of Nations,0.6,Angola,Mali,4,4,8,0,D,1,1,1,0,1,0,False
2010-01-11,African Cup of Nations,0.6,Ivory Coast,Burkina Faso,0,0,0,0,D,0,0,0,0,1,0,True
2010-01-11,African Cup of Nations,0.6,Malawi,Algeria,3,0,3,3,H,0,1,0,1,0,0,True
2010-01-12,African Cup of Nations,0.6,Egypt,Nigeria,3,1,4,2,H,1,1,1,1,0,0,True
2010-01-12,African Cup of Nations,0.6,Mozambique,Benin,2,2,4,0,D,1,1,1,0,1,0,True
2010-01-13,African Cup of Nations,0.6,Cameroon,Gabon,0,1,1,-1,A,0,0,0,0,0,1,True
2010-01-13,African Cup of Nations,0.6,Zambia,Tunisia,1,1,2,0,D,1,0,0,0,1,0,True
2010-01-14,African Cup of Nations,0.6,Angola,Malawi,2,0,2,2,H,0,0,0,1,0,0,False
2010-01-14,African Cup of Nations,0.6,Mali,Algeria,0,1,1,-1,A,0,0,0,0,0,1,True
2010-01-15,African Cup of Nations,0.6,Ivory Coast,Ghana,3,1,4,2,H,1,1,1,1,0,0,True
2010-01-15,Friendly,0.1,Yemen,Kenya,3,1,4,2,H,1,1,1,1,0,0,False
2010-01-16,African Cup of Nations,0.6,Egypt,Mozambique,2,0,2,2,H,0,0,0,1,0,0,True
2010-01-16,African Cup of Nations,0.6,Nigeria,Benin,1,0,1,1,H,0,0,0,1,0,0,True
2010-01-17,African Cup of Nations,0.6,Cameroon,Zambia,3,2,5,1,H,1,1,1,1,0,0,True
2010-01-17,African Cup of Nations,0.6,Gabon,Tunisia,0,0,0,0,D,0,0,0,0,1,0,True
2010-01-17,King's Cup,0.6,Thailand,Singapore,1,0,1,1,H,0,0,0,1,0,0,False
2010-01-17,AFC Asian Cup qualification,0.8,Vietnam,China,1,2,3,-1,A,1,1,0,0,0,1,False
2010-01-18,African Cup of Nations,0.6,Angola,Algeria,0,0,0,0,D,0,0,0,0,1,0,False
2010-01-18,Friendly,0.1,Finland,South Korea,0,2,2,-2,A,0,0,0,0,0,1,True
2010-01-18,African Cup of Nations,0.6,Mali,Malawi,3,1,4,2,H,1,1,1,1,0,0,True
2010-01-19,African Cup of Nations,0.6,Burkina Faso,Ghana,0,1,1,-1,A,0,0,0,0,0,1,True
2010-01-20,Friendly,0.1,Chile,Panama,2,1,3,1,H,1,1,0,1,0,0,False
2010-01-20,African Cup of Nations,0.6,Egypt,Benin,2,0,2,2,H,0,0,0,1,0,0,True
2010-01-20,African Cup of Nations,0.6,Nigeria,Mozambique,3,0,3,3,H,0,1,0,1,0,0,True
2010-01-20,Friendly,0.1,Oman,Sweden,0,1,1,-1,A,0,0,0,0,0,1,False
2010-01-20,King's Cup,0.6,Thailand,Poland,1,3,4,-2,A,1,1,1,0,0,1,False
2010-01-20,AFC Asian Cup qualification,0.8,Yemen,Bahrain,3,0,3,3,H,0,1,0,1,0,0,False
2010-01-21,African Cup of Nations,0.6,Cameroon,Tunisia,2,2,4,0,D,1,1,1,0,1,0,True
2010-01-21,African Cup of Nations,0.6,Gabon,Zambia,1,2,3,-1,A,1,1,0,0,0,1,True
2010-01-22,Friendly,0.1,Latvia,South Korea,0,1,1,-1,A,0,0,0,0,0,1,True
2010-01-23,King's Cup,0.6,Poland,Singapore,6,1,7,5,H,1,1,1,1,0,0,True
2010-01-23,Friendly,0.1,Syria,Sweden,1,1,2,0,D,1,0,0,0,1,0,False
2010-01-23,Friendly,0.1,USA,Honduras,1,3,4,-2,A,1,1,1,0,0,1,False
2010-01-24,African Cup of Nations,0.6,Angola,Ghana,0,1,1,-1,A,0,0,0,0,0,1,False
2010-01-24,African Cup of Nations,0.6,Ivory Coast,Algeria,2,3,5,-1,A,1,1,1,0,0,1,True
2010-01-25,African Cup of Nations,0.6,Egypt,Cameroon,3,1,4,2,H,1,1,1,1,0,0,True
2010-01-25,African Cup of Nations,0.6,Zambia,Nigeria,0,0,0,0,D,0,0,0,0,1,0,True
2010-01-26,Friendly,0.1,Argentina,Costa Rica,3,2,5,1,H,1,1,1,1,0,0,False
2010-01-27,Friendly,0.1,South Africa,Zimbabwe,3,0,3,3,H,0,1,0,1,0,0,False
2010-01-28,African Cup of Nations,0.6,Algeria,Egypt,0,4,4,-4,A,0,1,1,0,0,1,True
2010-01-28,African Cup of Nations,0.6,Ghana,Nigeria,1,0,1,1,H,0,0,0,1,0,0,True
2010-01-30,African Cup of Nations,0.6,Nigeria,Algeria,1,0,1,1,H,0,0,0,1,0,0,True
2010-01-31,African Cup of Nations,0.6,Ghana,Egypt,0,1,1,-1,A,0,0,0,0,0,1,True
2010-01-31,Friendly,0.1,Jamaica,Canada,1,0,1,1,H,0,0,0,1,0,0,False
2010-02-02,Friendly,0.1,Japan,Venezuela,0,0,0,0,D,0,0,0,0,1,0,False
